Skyddat fynd;Id;Taxonsorteringsordning;Valideringsstatus;Rödlistade;TaxonId;Artnamn;Vetenskapligt namn;Auktor;Antal;Enhet;Ålder-Stadium;Kön;Aktivitet;Längd (mm);Vikt (g);Metod;Huvudlokal;Lokalnamn;Ost;Nord;Noggrannhet;Diffusion;Län;Kommun;Provins;Församling;Externid;Startdatum;Starttid;Slutdatum;Sluttid
;54895462;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);10; ; ; ;friflygande;;;observerad;;Stajnhagen, SV Utoje;1681456;6418580;50;0;Gotland;Gotland;Gotland;Fleringe;;2015-08-18;;2015-08-18;
;66787191;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);1; ;imago/adult; ; ;;; ;Hovmansbygd;Äng vid G:a benstampen;1431273;6246417;50;0;Blekinge;Olofström;Blekinge;Kyrkhult;;2017-07-20;;2017-07-20;
;66609920;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);3; ;imago/adult; ;friflygande;;; ;;Gyllekulla;1395437;6253096;50;0;Skåne;Osby;Skåne;Osby;;2017-07-08;;2017-07-08;
;66718067;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);1; ;imago/adult; ; ;;;observerad;;Hummelsvedjan;1646840;6660260;250;0;Stockholm;Norrtälje;Uppland;Edebo;;2017-07-12;;2017-07-12;
;72341194;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);2; ; ; ;friflygande;;; ;;Ebbarp, Osby;1388430;6249750;100;0;Skåne;Osby;Skåne;Osby;;2018-07-19;;2018-07-19;
;72389606;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);3; ; ; ; ;;; ;;Solliden, SSO Odensvi;1524223;6414870;50;0;Kalmar;Västervik;Småland;Odensvi;;2018-07-21;;2018-07-21;
;94650461;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);1; ;imago/adult; ;friflygande;;; ;;Ränneslätt Syd;1447703;6393407;100;0;Jönköping;Eksjö;Småland;Eksjö;;2021-07-03;;2021-07-03;
;72166619;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);1; ;imago/adult; ;friflygande;;;observerad;Björka;Gamla höladan;1454228;6392652;75;0;Jönköping;Eksjö;Småland;Höreda;;2018-07-06;;2018-07-06;
;102175140;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);2; ;imago/adult; ;friflygande;;;observerad;;Kvänsås, gamla banvallen N;1451697;6396877;75;0;Jönköping;Eksjö;Småland;Eksjö;;2022-07-10;;2022-07-10;
;78993511;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);1; ;imago/adult; ; ;;; ;;Knaggelid;1433598;6243418;10;0;Blekinge;Karlshamn;Blekinge;Ringamåla;;2019-07-19;;2019-07-19;
;60833121;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);11;ex.;imago/adult; ;friflygande;;;observerad;;Garphyttans Nationalpark;1447684;6573479;500;0;Örebro;Lekeberg;Närke;Hidinge;;2016-07-22;08:54;2016-07-22;08:54
;60833222;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);1;ex.;imago/adult; ;friflygande;;;observerad;Isåsen;Gården Norra Lindesberg;1460921;6524104;300;0;Örebro;Askersund;Närke;Lerbäck;;2016-07-21;11:57;2016-07-21;14:09
;60832717;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);1;ex.;imago/adult; ;friflygande;;;observerad;;Djurgården;1481036;6575387;250;0;Örebro;Örebro;Närke;Lillkyrka;;2016-07-25;11:55;2016-07-25;13:45
;14813713;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);2;;imago/adult;;friflygande;;;;;Undenebotten S;1427050;6526220;250;0;Örebro;Laxå;Västergötland;Tived;;2011-06-29;;2011-06-29;
;14821324;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);3;;imago/adult;;friflygande;;;slag-/vattenhåvning;;Holmen, Lane Ryr;1280160;6482090;100;0;Västra Götaland;Uddevalla;Bohuslän;Lane-Ryr;;2011-07-05;16:00;2011-07-05;16:00
;14824471;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);12;;imago/adult;;friflygande;;;slag-/vattenhåvning;;Torp, Lane-Ryr;1280920;6482270;100;0;Västra Götaland;Uddevalla;Bohuslän;Lane-Ryr;;2011-07-07;11:00;2011-07-07;11:35
;14865311;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);2;;imago/adult;;friflygande;;;observerad;;Domperud, Gunnarskog;1326340;6641990;100;0;Värmland;Arvika;Värmland;Gunnarskog;;2011-07-28;14:00;2011-07-28;14:00
;16227391;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);1; ;imago/adult; ;friflygande;;;observerad;;Torp, Lane-Ryr;1280920;6482270;100;0;Västra Götaland;Uddevalla;Bohuslän;Lane-Ryr;;2014-07-21;10:00;2014-07-21;11:30
;14121037;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);4;;imago/adult;;friflygande;;;observerad;;Ålslån, Herrestadsfjället;1271690;6482570;100;0;Västra Götaland;Uddevalla;Bohuslän;Herrestad;;2009-07-28;11:30;2009-07-28;14:00
;14100873;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);1;;imago/adult;;friflygande;;;slag-/vattenhåvning;;Vargfjället, Bredfjället;1278470;6462080;100;0;Västra Götaland;Uddevalla;Bohuslän;Grinneröd;;2009-07-15;08:50;2009-07-15;11:30
;14070627;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);1;;imago/adult;hane;friflygande;;;slag-/vattenhåvning;;Vargfjället, Bredfjället;1278470;6462080;100;0;Västra Götaland;Uddevalla;Bohuslän;Grinneröd;;2009-07-04;10:15;2009-07-04;14:15
;14456501;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);3;;imago/adult;;vilande;;;observerad;;Holmen, Lane Ryr;1280160;6482090;100;0;Västra Götaland;Uddevalla;Bohuslän;Lane-Ryr;;2010-07-16;15:00;2010-07-16;15:00
;14122510;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);2;;imago/adult;;vilande;;;observerad;;Holmen, Lane Ryr;1280160;6482090;100;0;Västra Götaland;Uddevalla;Bohuslän;Lane-Ryr;;2009-07-30;11:30;2009-07-30;11:30
;61023777;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);2;ex.;imago/adult; ;födosökande;;;observerad;;Torp, Lane-Ryr;1280920;6482270;100;0;Västra Götaland;Uddevalla;Bohuslän;Lane-Ryr;;2016-08-17;10:00;2016-08-17;11:30
