Skyddat fynd;Id;Taxonsorteringsordning;Valideringsstatus;Rödlistade;TaxonId;Artnamn;Vetenskapligt namn;Auktor;Antal;Enhet;Ålder-Stadium;Kön;Aktivitet;Längd (mm);Vikt (g);Metod;Huvudlokal;Lokalnamn;Ost;Nord;Noggrannhet;Diffusion;Län;Kommun;Provins;Församling;Externid;Startdatum;Starttid;Slutdatum;Sluttid
;15594590;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);1;;;;;;;;;V:a Krankesjön;1352092;6176647;100;0;Skåne;Lund;Skåne;Silvåkra;;2013-07-11;;2013-07-11;
;14482667;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);1;;imago/adult;;;;;observerad;;Silvåkratornet, Krankesjön;1357620;6175840;250;0;Skåne;Lund;Skåne;Vomb;;2010-07-16;;2010-07-16;
;14482669;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);1;;imago/adult;;;;;observerad;;NO Krankesjön;1355190;6176645;250;0;Skåne;Lund;Skåne;Silvåkra;;2010-07-16;;2010-07-16;
;14482694;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);4;;imago/adult;;;;;observerad;;Krankesjöns västsida;1354600;6175840;250;0;Skåne;Lund;Skåne;Silvåkra;;2010-07-16;;2010-07-16;
;13088759;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);1;;imago/adult;;;;;;;S:t Olof 1,5 km S kyrkan;1394410;6166810;100;0;Skåne;Simrishamn;Skåne;Sankt Olof;;2005-07-15;;2005-07-15;
;14109136;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);1;;;;;;;;;NO Krankesjön;1355190;6176645;250;0;Skåne;Lund;Skåne;Silvåkra;;2009-07-14;;2009-07-14;
;13564476;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);1;;;;;;;;;Krankesjöns västsida;1354600;6175840;250;0;Skåne;Lund;Skåne;Silvåkra;;2008-07-14;;2008-07-14;
;67032358;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);1; ; ; ;födosökande;;; ;;Bakvägen;1397250;6180568;25;0;Skåne;Simrishamn;Skåne;Ravlunda;;2017-07-17;;2017-07-17;
;66735226;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);2; ;imago/adult; ;friflygande;;; ;;Hällnäs, Korsnäsudde;1601481;6527911;200;0;Södermanland;Trosa;Södermanland;Trosa-Vagnhärad;;2017-07-17;;2017-07-17;
;94644595;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);1; ;imago/adult; ;vilande;;; ;Görvälns naturreservat;Sandvik;1611324;6588839;300;0;Stockholm;Järfälla;Uppland;Järfälla;;2021-07-03;13:30;2021-07-03;13:30
;94723430;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);1; ;imago/adult; ;friflygande;;;observerad;Stenshuvud;Fäladen;1403566;6170026;150;0;Skåne;Simrishamn;Skåne;Södra Mellby;;2021-07-06;12:30;2021-07-06;12:30
;95091854;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);2; ;imago/adult; ;födosökande;;;observerad;Näsbokrok, Ölmevalla;Näsbokrok naturreservat;1275060;6363173;250;0;Halland;Kungsbacka;Halland;Ölmevalla;;2021-07-25;15:15;2021-07-25;15:15
;97774957;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);3; ; ; ; ;;; ;;Toftaskjutfält;1641758;6384952;300;0;Gotland;Gotland;Gotland;Västerhejde;;2021-07-18;;2021-07-18;
;87094257;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);1;ex.;imago/adult;hona;födosökande;;;observerad;;Freden, SÖ Svärlinge;1641430;6631180;400;0;Stockholm;Norrtälje;Uppland;Fasterna;;2020-07-25;;2020-07-25;
;94767509;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);1; ;imago/adult; ;vilande;;; ;;Hemmingstorp;1314168;6364933;10;0;Västra Götaland;Mark;Västergötland;Torestorp;;2021-07-09;;2021-07-09;
